VF-OPS-001 — Task Metrics Dashboard;;;;;;;;;;;
;;;;;;;;;;;
Total Tasks;;;Total Story Points;;;P0 Release Blockers;;;Sprints Planned;;
60;;;350;;;23;;;6;;
across all epics;;;estimated effort;;;must ship in v1;;;Sprint 0 to Sprint 5;;
;;;;;;;;;;;
Backend Tasks;;;Frontend Tasks;;;QA Tasks;;;Avg SP per Task;;
29;;;18;;;9;;;5,8;;
BE / DB / DEVOPS;;;FE role;;;testing & security;;;story point density;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Story Points by Epic;;;;Story Points by Sprint;;;;Tasks by Priority;;;
Foundation;;22;;Sprint 0;;2;;P0 — Release Blocker;;23;
Backend;;101;;Sprint 1;;49;;P1 — High;;30;
Frontend;;144;;Sprint 2;;81;;P2 — Nice to Have;;7;
Security;;23;;Sprint 3;;89;;;;;
QA & Testing;;44;;Sprint 4;;94;;;;;
Deployment;;16;;Sprint 5;;35;;;;;
