VF-OPS-003 — Supply Chain & Inventory Management · Implementation Task List;;;;;;;;;;;
ID;Title;Description;Acceptance Criteria;Epic;Role;SP;Priority;Sprint;Dependencies;Status;Notes
DB-01;Prisma schema — core supply chain models;Implement Supplier, Product, Location, StockLedger, StockLevel, PurchaseRequisition, PRLineItem, PurchaseOrder, POLineItem, GoodsReceipt, GRLineItem models. All enums (SupplierStatus, LedgerEntryType, PRStatus, POStatus, GRStatus).;Schema migrates without errors. All relations verified. Ledger model has NO update/delete capability by design. Location model included from day one.;Epic 1: Foundation;DB;5;P0;Sprint 1;;Not Started;Critical: Full schema must be authored in Sprint 0. The schema stub in v1 was a critical blocker. Multi-location architecture decision must be made before this ticket starts.
DB-02;Prisma schema — premium & analytics models;Add SupplierRejection, PurchaseOrderAmendment, SupplierProduct, SupplierRisk, SupplierInvoice, UnmatchedReceipt, ApprovalPolicy, DemandForecast, SeasonalAdjustment, CycleCount, RFQ, SupplierQuote, COGSRecord models.;All new models migrate cleanly. No breaking changes to core schema. SupplierInvoice designed for three-way matching from day one.;Epic 1: Foundation;DB;8;P1;Sprint 1;DB-01;Not Started;Tier 2–5 premium features depend on these models. SupplierInvoice must be included even though AP integration is Phase 4.
DB-03;Seed script — initial data;Seed script for sample products, suppliers, locations, approval policy defaults, and initial stock levels.;prisma db seed populates all lookup tables. Sample data supports health scoring and procurement workflow testing.;Epic 1: Foundation;DB;2;P1;Sprint 1;DB-01;Not Started;
INF-01;S3 configuration for PO documents;Create /procurement/orders/{supplierId}/ folder structure in S3. Configure IAM policies for backend write access. Block public access. Enable server-side encryption. Configure presigned URL generation for secure document access.;Backend writes PO PDFs to correct folder. Public access blocked. Presigned URL generation works with configurable expiry. File size limits enforced.;Epic 1: Foundation;DEVOPS;2;P0;Sprint 1;;Not Started;Required before BE-06 (PO PDF generation).
INF-02;Notification service integration;Configure email service for: PR approval request, PO dispatch to supplier, low stock alert, reorder alert, PO amendment notification, supplier rejection notification, overdue delivery alert.;All 7 email templates render correctly. Test sends succeed. Supplier emails include PO PDF as attachment.;Epic 1: Foundation;BE;3;P1;Sprint 1;;Not Started;
INF-03;Approval policy configuration service;Implement ApprovalPolicy model with configurable thresholds (auto-approve, L1, L2 amounts) per product category. Seed default policy from §2.1.2 matrix. Admin UI for policy configuration.;Policy CRUD works. Default thresholds match §2.1.2. Category-specific overrides work. Self-approval blocked at policy engine level regardless of threshold.;Epic 1: Foundation;BE;3;P0;Sprint 0;;Not Started;Sprint 0 prerequisite. BE-05 approval chain depends on this service. Thresholds must be signed off by Finance Director before Sprint 1.
INF-04;OpenAPI spec for all endpoints;Generate and publish OpenAPI 3.0 spec for all 13 endpoints in §4.4. Full request/response schemas, error codes, auth requirements, pagination contracts.;OpenAPI spec at /api/docs. All 13 endpoints documented. Auto-updated on deployment. Validated with no errors.;Epic 1: Foundation;BE;3;P0;Sprint 1;BE-01;Not Started;Required before FE begins. This was absent from v1.
BE-01;Product & supplier CRUD;Create REST endpoints for Product catalog and Supplier directory management. Supplier code auto-generation (SUP-001 format). Status management (ACTIVE, SUSPENDED, BLACKLISTED). SupplierProduct linking for preferred supplier config.;POST/GET/PATCH endpoints work. Supplier code unique constraint enforced. Status transitions validated. SupplierProduct records link suppliers to products with unit cost and lead time.;Epic 2: Backend;BE;5;P0;Sprint 1;DB-01;Not Started;
BE-02;Inventory ledger engine;Implement StockLedger with all 10 entry types from §4.2. Enforce immutability — no UPDATE or DELETE endpoints exist. Every stock change creates a ledger entry. Atomic transfer pair (TRANSFER_OUT + TRANSFER_IN) using database transaction.;All 10 entry types implemented. No UPDATE/DELETE endpoints exposed. Atomic transfer verified — if TRANSFER_IN fails, TRANSFER_OUT is rolled back. Ledger sum always equals StockLevel quantity.;Epic 2: Backend;BE;8;P0;Sprint 1;DB-01;Not Started;Core architectural commitment. Immutability must be enforced at API AND database level.
BE-03;Stock level aggregation & caching;Create service to calculate current stock from ledger sum per product per location. Cache results in StockLevel table. Invalidate cache on every ledger write. Expose aggregate (all locations) and per-location queries.;StockLevel table updates accurately on every ledger write. Dashboard queries < 2s P95 at 10,000 SKUs. Per-location and aggregate views both correct. Cache age timestamp returned in API response.;Epic 2: Backend;BE;5;P0;Sprint 1;BE-02;Not Started;
BE-04;Reorder alert service;Daily cron at 07:00 checking quantity <= reorderPoint per location. Real-time trigger on ledger write. Create Notification for Procurement. Optionally create draft PR at EOQ quantity for preferred supplier.;Cron runs daily. Real-time trigger fires within 60 seconds of ledger write. Notifications created correctly. Draft PR created with correct EOQ quantity and preferred supplier. Per-location reorder logic correct.;Epic 2: Backend;BE;5;P1;Sprint 2;BE-02,BE-03;Not Started;
BE-05;Procurement workflow — PR & approval chain;Implement PR CRUD with line items. Approval chain per ApprovalPolicy (INF-03). Self-approval blocked at service level. Budget check against VF-OPS-001 on submission. Multi-level approval routing.;PR status transitions match §4.3 state machine. Self-approval returns HTTP 403 with clear error. Budget check queries VF-OPS-001. Multi-level routing correct per policy. Requester cannot approve own PR under any circumstances.;Epic 2: Backend;BE;8;P0;Sprint 2;INF-03,DB-01;Not Started;Self-approval prevention is a hard security requirement — must be enforced at service level not just RBAC.
BE-06;Procurement workflow — PO generation & PDF;Implement PO creation from approved PR. PDF generation with supplier details, line items, payment terms, delivery address. Store PDF in S3. Email to supplier with PDF attachment. Preferred supplier suggestion engine.;PO created from approved PR. PDF generated and stored in S3. Email with PDF sent to supplier. Preferred supplier suggested based on SupplierProduct records and performance score. PO locked after SENT status.;Epic 2: Backend;BE;8;P0;Sprint 2;BE-05,INF-01,INF-02;Not Started;
