VF-OPS-001 — Implementation Task List;;;;;;;;;;;
ID;Title;Description;Acceptance Criteria;Epic;Role;SP;Priority;Sprint;Dependencies;Status;Notes
DB-01;Prisma schema — base PPM models;Implement core models: Project, ProjectTask, RAIDItem, ProjectBudget, ResourceAssignment. Add all enums (TaskStatus, RAGStatus, RAIDType, Priority).;Schema migrates without errors. All relations (Owner, Assignee, Project) resolve correctly. Enums validated.;Epic 1: Foundation;DB;5;P0;Sprint 1;;Not Started;Must be authored before Sprint 1 begins. Schema gap was critical blocker in v1 spec.
DB-02;Prisma schema — premium models;Add Milestone, ProjectDependency, GateReview, DecisionRecord, SprintRecord, CycleTimeLog, ProjectForecast, ProjectInsight, ProjectBaseline, UserSkill, Capacity models.;All new models migrate. Foreign key relations verified. No breaking changes to base schema.;Epic 1: Foundation;DB;8;P1;Sprint 1;DB-01;Not Started;Tier 1–5 premium features all depend on these models.
DB-03;Seed script — initial data;Create seed script for default project statuses, priorities, sample projects, and OKR objectives.;Running prisma db seed populates all lookup tables. Sample data usable in dev/staging.;Epic 1: Foundation;DB;2;P1;Sprint 1;DB-01;Not Started;
INF-01;S3 configuration for project files;Create /projects/attachments/ folder in S3. Update IAM policies to allow backend write access. Block public access.;Backend can write to new folder. Public access blocked and verified. File type validation enforced at IAM level.;Epic 1: Foundation;DEVOPS;2;P0;Sprint 1;;Not Started;Required before BE-07 (file attachment service).
INF-02;Notification service integration;Configure email service integration with VF-LEG-001 shared notification service. Document API contract. Implement test harness.;Test email sends successfully from backend. Contract with shared service documented and signed off.;Epic 1: Foundation;BE;3;P1;Sprint 1;;Not Started;Dependency contract with VF-LEG-001 must be agreed in Sprint 0 before this ticket is started.
INF-03;Shared User Model contract;Document the interface between PPM and the shared User Model from VF-LEG-001. Define which fields PPM extends, which role enum values are shared, and how JWT claims are structured.;Written contract signed off by CLM and PPM leads. Prisma schema reflects agreed shared fields. No duplication of user data.;Epic 1: Foundation;BE;2;P0;Sprint 0;;Not Started;Sprint 0 pre-requisite. Blocks all RBAC implementation.
BE-01;Project CRUD endpoints;Create REST endpoints to create, read, update, and archive projects. Owner assignment enforced on creation. Baseline snapshot created on project approval.;POST/GET/PATCH endpoints work. Owner assignment enforced. Baseline snapshot written to ProjectBaseline on status change to APPROVED.;Epic 2: Backend;BE;5;P0;Sprint 1;DB-01;Not Started;
BE-02;RAG calculation engine;Implement auto-calculation of Project.ragStatus based on task overdue counts, RAID priorities, and budget variance. Priority order: RED > AMBER > GREEN. Initial state GREEN. Auto-revert on resolution.;All edge cases in §2.1.3 pass. Priority order correct. Initial state GREEN on project creation. Auto-revert verified. Manual override requires Admin + audit log entry.;Epic 2: Backend;BE;8;P0;Sprint 2;BE-01, DB-01;Not Started;Trigger: task status change, task due date pass, RAID item creation/update, budget variance change.
BE-03;Kanban state machine;Implement full 5-state task transition machine: TODO, IN_PROGRESS, IN_REVIEW, BLOCKED, DONE. Enforce valid transitions per matrix. Allow backward transitions per matrix. Validate blockers before DONE.;All 5 states implemented. Invalid transitions rejected (HTTP 422). Backwards transitions allowed per matrix. Blocker check prevents DONE when blockers active. PM/Admin required to reopen DONE.;Epic 2: Backend;BE;5;P0;Sprint 1;DB-01;Not Started;State machine matrix defined in §2.2.4 of spec.
BE-04;RAID log management;Implement CRUD for Risks, Actions, Issues, and Decisions. Decision register fields (optionsConsidered, rationale, approvedById) included. Priority sorting. Link RAID items to timeline date for Gantt flag rendering.;All four RAID types work. Decision register fields stored and returned. Priority sorting works. loggedDate stored for Gantt flag positioning.;Epic 2: Backend;BE;5;P1;Sprint 2;BE-01;Not Started;
BE-05;Budget tracking service;Implement allocated vs spent tracking. Calculate variance %. Trigger AMBER alert at 5–10% variance. Trigger RED alert and RAG recalculation at >10% variance. Require receipt upload above configurable threshold.;Variance calculated correctly. AMBER/RED thresholds trigger alerts and RAG recalculation. Receipt requirement enforced above threshold. All budget changes audit logged.;Epic 2: Backend;BE;5;P1;Sprint 2;BE-01, BE-02;Not Started;
BE-06;Resource assignment service;Implement endpoints to add/remove team members to projects. Store allocation %. Compute overallocation flag when user's total allocation across projects exceeds 100%.;Users linked to projects. Allocation % stored. Overallocation flag computed and exposed in API response. Notification triggered on overallocation.;Epic 2: Backend;BE;3;P1;Sprint 2;DB-01;Not Started;
BE-07;File attachment service;Implement S3 upload logic for project files. Validate permitted file types and size limits. Store S3 URL in DB. Handle upload failures gracefully.;Files upload to S3. URL stored in DB. Permitted types enforced (PDF, DOCX, XLSX, PNG, JPG — max 25MB per file, 500MB per project). Upload failures return actionable error. S3 deletion on project archive.;Epic 2: Backend;BE;5;P0;Sprint 2;INF-01;Not Started;File type/size limits must be formally defined before development — see §2.2.5 of spec.
BE-08;Audit logging interceptor;Create NestJS interceptor to log all state-changing actions to ProjectAuditLog. Entries must be immutable (no UPDATE/DELETE endpoints exposed).;Every state change creates an audit log entry with userId, action, previousValue, newValue, timestamp. No DELETE/PUT endpoints on AuditLog. Verified in QA-06.;Epic 2: Backend;BE;5;P1;Sprint 2;DB-01;Not Started;
BE-09;Portfolio aggregation API;Create cached endpoint returning aggregate data for the dashboard: RAG heatmap counts, delivery gauge (% on time), budget overview (total allocated vs spent), OKR coverage %, utilisation summary.;Returns all aggregate stats in a single call. Cache invalidation on project RAG change. Response time < 500ms P95 at 500 projects.;Epic 2: Backend;BE;5;P0;Sprint 2;BE-01, BE-02;Not Started;
