VF-OPS-001 — Dependency Map;;;;
Task ID;Task Title;Depends On;Blocked By;Sprint
DB-02;Prisma schema — premium models;DB-01;Blocked;Sprint 1
DB-03;Seed script — initial data;DB-01;Blocked;Sprint 1
BE-01;Project CRUD endpoints;DB-01;Blocked;Sprint 1
BE-02;RAG calculation engine;BE-01, DB-01;Blocked;Sprint 2
BE-03;Kanban state machine;DB-01;Blocked;Sprint 1
BE-04;RAID log management;BE-01;Blocked;Sprint 2
BE-05;Budget tracking service;BE-01, BE-02;Blocked;Sprint 2
BE-06;Resource assignment service;DB-01;Blocked;Sprint 2
BE-07;File attachment service;INF-01;Blocked;Sprint 2
BE-08;Audit logging interceptor;DB-01;Blocked;Sprint 2
BE-09;Portfolio aggregation API;BE-01, BE-02;Blocked;Sprint 2
BE-10;Gantt data API;BE-01, BE-11, BE-12;Blocked;Sprint 3
BE-11;Cross-project dependency engine;DB-02;Blocked;Sprint 3
BE-12;Monte Carlo forecast service;DB-02, BE-10;Blocked;Sprint 4
BE-13;Gate review workflow;DB-02, BE-08;Blocked;Sprint 4
BE-14;Capacity planning service;BE-06, DB-02;Blocked;Sprint 4
BE-15;OKR alignment service;DB-02;Blocked;Sprint 4
BE-16;Export service — PDF and CSV;BE-01, BE-04, BE-05;Blocked;Sprint 3
BE-17;Notification preferences service;INF-02;Blocked;Sprint 4
FE-01;Portfolio dashboard page;BE-09;Blocked;Sprint 2
FE-02;Project workspace layout;BE-01;Blocked;Sprint 2
FE-03;Kanban board component;BE-03, FE-02;Blocked;Sprint 2
FE-04;Gantt chart — static rendering;BE-10;Blocked;Sprint 3
FE-05;Gantt chart — drag-to-reschedule;FE-04, BE-11;Blocked;Sprint 4
FE-06;RAID log data grid;BE-04, FE-02;Blocked;Sprint 3
FE-07;Budget chart component;BE-05, FE-02;Blocked;Sprint 3
FE-08;Project creation wizard;BE-01, BE-15;Blocked;Sprint 3
FE-09;Task detail modal;BE-03, BE-07, FE-03;Blocked;Sprint 3
FE-10;RBAC frontend guards;INF-03;Blocked;Sprint 2
FE-11;File upload component;BE-07;Blocked;Sprint 3
FE-12;Capacity planning grid;BE-14, FE-01;Blocked;Sprint 4
FE-13;Dependency graph view;BE-11, FE-04;Blocked;Sprint 4
FE-14;Public status page builder;BE-01, FE-02;Blocked;Sprint 5
FE-15;Gate review panel;BE-13, FE-02;Blocked;Sprint 4
FE-16;Velocity analytics dashboard;BE-12;Blocked;Sprint 5
FE-17;Prioritisation scoring matrix;BE-15;Blocked;Sprint 5
SEC-01;API role guards;INF-03;Blocked;Sprint 1
SEC-02;Budget data access control;SEC-01;Blocked;Sprint 2
SEC-03;Audit log integrity enforcement;BE-08;Blocked;Sprint 1
SEC-04;Data isolation — project visibility;DB-01;Blocked;Sprint 1
SEC-05;OpenAPI spec generation;BE-01;Blocked;Sprint 1
SEC-06;Manual RAG override controls;BE-02, SEC-01;Blocked;Sprint 2
QA-01;Unit tests — RAG logic;BE-02;Blocked;Sprint 2
QA-02;Unit tests — Kanban state machine;BE-03;Blocked;Sprint 2
QA-03;Integration tests — core flows;BE-01, BE-02, BE-05;Blocked;Sprint 3
QA-04;Integration tests — RBAC flows;SEC-01, SEC-04;Blocked;Sprint 3
QA-05;E2E test — Kanban workflow;FE-03, BE-03;Blocked;Sprint 3
QA-06;E2E test — Gantt chart;FE-04, BE-10;Blocked;Sprint 4
QA-07;Security penetration test;SEC-01–06;Blocked;Sprint 4
QA-08;Performance testing;BE-09, BE-10;Blocked;Sprint 4
QA-09;UAT — Project Managers;FE-01–15, BE-01–16;Blocked;Sprint 4
OPS-02;Production migration + rollback plan;QA-09;Blocked;Sprint 5
OPS-03;Performance monitoring setup;QA-08;Blocked;Sprint 4
OPS-04;User training programme;QA-09;Blocked;Sprint 5
OPS-05;Phase 1 rollout — Engineering pilot;OPS-02, OPS-04;Blocked;Sprint 5
DB-01;Prisma schema — base PPM models;;;Sprint 1
INF-01;S3 configuration for project files;;;Sprint 1
INF-02;Notification service integration;;;Sprint 1
INF-03;Shared User Model contract;;;Sprint 0
OPS-01;Feature flag setup;;;Sprint 1
